Rank,Release Group,Worldwide,Domestic,%,Foreign,%
1,Barbie,"$1,441,804,117","$636,204,117",44.1%,"$805,600,000",55.9%
2,The Super Mario Bros. Movie,"$1,361,943,444","$574,934,330",42.2%,"$787,009,114",57.8%
3,Oppenheimer,"$950,781,060","$325,483,060",34.2%,"$625,298,000",65.8%
4,Guardians of the Galaxy Vol. 3,"$845,555,777","$358,995,815",42.5%,"$486,559,962",57.5%
5,Fast X,"$704,709,660","$145,960,660",20.7%,"$558,749,000",79.3%
6,Spider-Man: Across the Spider-Verse,"$690,516,673","$381,311,319",55.2%,"$309,205,354",44.8%
7,The Little Mermaid,"$569,626,289","$298,172,056",52.3%,"$271,454,233",47.7%
8,Mission: Impossible - Dead Reckoning Part One,"$567,535,383","$172,135,383",30.3%,"$395,400,000",69.7%
9,Elemental,"$495,947,021","$154,426,697",31.1%,"$341,520,324",68.9%
10,Ant-Man and the Wasp: Quantumania,"$476,071,180","$214,504,909",45.1%,"$261,566,271",54.9%
11,John Wick: Chapter 4,"$440,146,694","$187,131,806",42.5%,"$253,014,888",57.5%
12,Transformers: Rise of the Beasts,"$438,966,392","$157,066,392",35.8%,"$281,900,000",64.2%
13,Meg 2: The Trench,"$395,000,317","$82,600,317",20.9%,"$312,400,000",79.1%
14,Indiana Jones and the Dial of Destiny,"$383,963,057","$174,480,468",45.4%,"$209,482,589",54.6%
15,Five Nights at Freddy's,"$287,796,133","$137,088,570",47.6%,"$150,707,563",52.4%
16,Creed III,"$275,248,615","$156,248,615",56.8%,"$119,000,000",43.2%
17,The Flash,"$270,633,313","$108,133,313",40%,"$162,500,000",60%
18,The Nun II,"$268,067,073","$86,267,073",32.2%,"$181,800,000",67.8%
19,Taylor Swift: The Eras Tour,"$249,591,137","$178,901,001",71.7%,"$70,690,136",28.3%
20,The Hunger Games: The Ballad of Songbirds & Snakes,"$248,955,926","$126,255,926",50.7%,"$122,700,000",49.3%
21,Sound of Freedom,"$247,801,971","$184,174,633",74.3%,"$63,627,338",25.7%
22,Dungeons & Dragons: Honor Among Thieves,"$208,177,026","$93,277,026",44.8%,"$114,900,000",55.2%
23,The Marvels,"$198,402,062","$81,945,438",41.3%,"$116,456,624",58.7%
24,PAW Patrol: The Mighty Movie,"$195,331,360","$65,231,360",33.4%,"$130,100,000",66.6%
25,The Equalizer 3,"$190,811,793","$92,373,751",48.4%,"$98,438,042",51.6%
26,Insidious: The Red Door,"$189,086,877","$82,156,962",43.4%,"$106,929,915",56.6%
27,Teenage Mutant Ninja Turtles: Mutant Mayhem,"$180,513,586","$118,613,586",65.7%,"$61,900,000",34.3%
28,Scream VI,"$168,961,389","$108,161,389",64%,"$60,800,000",36%
29,Trolls Band Together,"$165,357,327","$78,231,775",47.3%,"$87,125,552",52.7%
30,Killers of the Flower Moon,"$154,579,684","$66,779,684",43.2%,"$87,800,000",56.8%
31,Evil Dead Rise,"$146,733,054","$67,233,054",45.8%,"$79,500,000",54.2%
32,Napoleon,"$141,362,860","$50,069,572",35.4%,"$91,293,288",64.6%
33,The Exorcist: Believer,"$135,821,395","$65,537,395",48.3%,"$70,284,000",51.7%
34,Shazam! Fury of the Gods,"$133,838,006","$57,638,006",43.1%,"$76,200,000",56.9%
35,Blue Beetle,"$129,288,072","$72,488,072",56.1%,"$56,800,000",43.9%
36,Pathaan,"$128,780,000","$17,487,476",13.6%,"$95,095,974",73.8%
37,A Haunting in Venice,"$122,098,354","$42,471,412",34.8%,"$79,626,942",65.2%
38,Gran Turismo,"$121,693,741","$44,428,554",36.5%,"$77,265,187",63.5%
39,Haunted Mansion,"$117,449,790","$67,653,287",57.6%,"$49,796,503",42.4%
40,Saw X,"$107,658,079","$53,607,898",49.8%,"$54,050,181",50.2%
41,Detective Conan: Black Iron Submarine,"$106,760,372",-,-,"$106,760,372",100%
42,The Creator,"$104,231,146","$40,774,679",39.1%,"$63,456,467",60.9%
43,Talk to Me,"$91,982,723","$48,299,436",52.5%,"$43,683,287",47.5%
44,Air,"$90,060,106","$52,460,106",58.3%,"$37,600,000",41.7%
45,The Boy and the Heron,"$89,743,742","$5,560,000",6.2%,"$84,183,742",93.8%
46,Cocaine Bear,"$88,032,942","$64,388,510",73.1%,"$23,644,432",26.9%
47,No Hard Feelings,"$87,252,552","$50,452,282",57.8%,"$36,800,270",42.2%
48,Wish,"$85,054,177","$45,272,846",53.2%,"$39,781,331",46.8%
49,The Roundup: No Way Out,"$83,410,298","$909,411",1.1%,"$82,500,887",98.9%
50,The Pope's Exorcist,"$76,987,621","$20,009,380",26%,"$56,978,241",74%
51,Plane,"$74,515,586","$32,111,181",43.1%,"$42,404,405",56.9%
52,Titanic 25 Year Anniversary,"$70,157,472","$15,033,795",21.4%,"$55,123,677",78.6%
53,The Boogeyman,"$67,307,243","$43,244,282",64.2%,"$24,062,961",35.8%
54,65,"$60,730,568","$32,062,904",52.8%,"$28,667,664",47.2%
55,Magic Mike's Last Dance,"$57,105,156","$26,005,156",45.5%,"$31,100,000",54.5%
56,Demon Slayer: Kimetsu No Yaiba - To the Swordsmith Village,"$56,119,404","$10,117,806",18%,"$46,001,598",82%
57,Knock at the Cabin,"$54,760,947","$35,397,980",64.6%,"$19,362,967",35.4%
58,Mummies,"$54,375,970","$4,275,970",7.9%,"$50,100,000",92.1%
59,Jesus Revolution,"$54,236,400","$52,102,987",96.1%,"$2,133,413",3.9%
60,Asteroid City,"$53,876,395","$28,153,025",52.3%,"$25,723,370",47.7%
61,Operation Fortune: Ruse de Guerre,"$49,091,651","$6,496,125",13.2%,"$42,595,526",86.8%
62,Missing,"$48,767,848","$32,502,025",66.6%,"$16,265,823",33.4%
63,Me Captain,"$46,989,820",-,-,"$46,989,820",100%
64,Asterix & Obelix: The Middle Kingdom,"$46,497,678",-,-,"$46,497,678",100%
65,Godzilla Minus One,"$45,881,301","$19,251,334",42%,"$26,629,967",58%
66,Ruby Gillman: Teenage Kraken,"$45,616,845","$15,753,600",34.5%,"$29,863,245",65.5%
67,80 for Brady,"$40,362,938","$39,330,588",97.4%,"$1,032,350",2.6%
68,"Miraculous: Ladybug & Cat Noir, the Movie","$39,357,124",-,-,"$39,357,124",100%
69,My Big Fat Greek Wedding 3,"$39,005,748","$28,496,030",73.1%,"$10,509,718",26.9%
70,Expend4bles,"$37,942,723","$16,710,153",44%,"$21,232,570",56%
71,Doraemon the Movie: Nobita's Sky Utopia,"$37,475,850",-,-,"$37,475,850",100%
72,Smugglers,"$36,825,379",-,-,"$36,825,379",100%
73,Thanksgiving,"$36,652,347","$29,621,669",80.8%,"$7,030,678",19.2%
74,Kingdom 3,"$36,259,522",-,-,"$36,259,522",100%
75,Ride On,"$36,258,730","$128,950",0.4%,"$36,129,780",99.6%
76,Strays,"$35,999,015","$23,988,885",66.6%,"$12,010,130",33.4%
77,Alibi.com 2,"$34,116,889",-,-,"$34,116,889",100%
78,12.12: The Day,"$33,867,329",-,-,"$33,867,329",100%
79,Don't Call it Mystery: The Movie,"$32,488,540",-,-,"$32,488,540",100%
80,The Three Musketeers - Part I: D'Artagnan,"$31,456,117",-,-,"$31,456,117",100%
81,Tokyo MER,"$30,226,383",-,-,"$30,226,383",100%
82,Renaissance: A Film by Beyoncé,"$30,151,164","$24,651,164",81.8%,"$5,500,000",18.2%
83,There's Still Tomorrow,"$29,690,940",-,-,"$29,690,940",100%
84,BTS: Yet to Come in Cinemas,"$29,291,883","$8,093,270",27.6%,"$21,198,613",72.4%
85,Book Club: The Next Chapter,"$28,986,785","$17,556,340",60.6%,"$11,430,445",39.4%
86,Concrete Utopia,"$28,859,372",-,-,"$28,859,372",100%
87,Jawan,"$28,499,044","$15,198,530",53.3%,"$13,300,514",46.7%
88,Interstellar 2023 Re-release,"$27,970,920",-,-,"$27,970,920",100%
89,Toy Story 2023 Re-release,"$27,503,758",-,-,"$27,503,758",100%
90,Renfield,"$26,348,651","$17,152,625",65.1%,"$9,196,026",34.9%
91,The Wish of the Fairy Fish,"$26,112,337",-,-,"$26,112,337",100%
92,Gravity 2023 Re-release (10th Anniversary),"$24,981,634",-,-,"$24,981,634",100%
93,The Challenge,"$23,861,816",-,-,"$23,861,816",100%
94,The Dark Knight 2023 Re-release,"$22,011,318",-,-,"$22,011,318",100%
95,The Last Voyage of the Demeter,"$21,786,169","$13,637,180",62.6%,"$8,148,989",37.4%
96,The Covenant,"$21,632,392","$16,938,039",78.3%,"$4,694,353",21.7%
97,"Are You There God? It's Me, Margaret.","$21,464,043","$20,372,406",94.9%,"$1,091,637",5.1%
98,Priscilla,"$20,641,212","$20,612,395",99.9%,"$28,817",0.1%
99,Past Lives,"$20,496,060","$10,923,569",53.3%,"$9,572,491",46.7%
100,Dumb Money,"$20,409,329","$13,925,356",68.2%,"$6,483,973",31.8%
101,Radical,"$20,047,904","$8,320,356",41.5%,"$11,727,548",58.5%
102,My Happy Marriage,"$19,506,407",-,-,"$19,506,407",100%
103,The House of No Man,"$19,490,980",-,-,"$19,490,980",100%
104,Champions,"$18,906,947","$16,271,910",86.1%,"$2,635,037",13.9%
105,Retribution,"$18,683,203","$6,937,696",37.1%,"$11,745,507",62.9%
106,Anatomy of a Fall,"$18,499,573","$3,535,628",19.1%,"$14,963,945",80.9%
107,IDOLiSH7 Movie: LIVE 4bit - BEYOND THE PERiOD,"$18,463,044",-,-,"$18,463,044",100%
108,Love Reset,"$18,200,055",-,-,"$18,200,055",100%
109,The Blackening,"$18,169,453","$17,707,207",97.5%,"$462,246",2.5%
110,About My Father,"$18,167,819","$12,089,391",66.5%,"$6,078,428",33.5%
111,Mavka: The Forest Song,"$17,846,215",-,-,"$17,846,215",100%
112,The Blind,"$17,265,487","$17,265,487",100%,-,-
113,Tokyo Revengers 2: Bloody Halloween - Destiny,"$17,216,567",-,-,"$17,216,567",100%
114,Shin Jigen! Crayon Shin-chan the Movie,"$16,926,552",-,-,"$16,926,552",100%
115,The Legend & Butterfly,"$16,087,771",-,-,"$16,087,771",100%
116,The Holdovers,"$15,925,675","$15,925,675",100%,-,-
117,Die drei ??? - Erbe des Drachen,"$15,860,016",-,-,"$15,860,016",100%
118,Shin Kamen Rider,"$15,787,771",-,-,"$15,787,771",100%
119,Joy Ride,"$15,787,674","$12,897,789",81.7%,"$2,889,885",18.3%
120,Hypnotic,"$15,766,289","$4,500,169",28.5%,"$11,266,120",71.5%
121,A Guilty Conscience,"$14,914,575",-,-,"$14,914,575",100%
122,Tokyo Revengers 2: Bloody Halloween - Decisive Battle,"$14,584,970",-,-,"$14,584,970",100%
123,Dr. Cheon and Lost Talisman,"$14,574,445","$84,362",0.6%,"$14,490,083",99.4%
124,Epic Tails,"$14,499,148",-,-,"$14,499,148",100%
125,3 jours max,"$14,431,531",-,-,"$14,431,531",100%
126,Sisu,"$14,281,199","$7,265,622",50.9%,"$7,015,577",49.1%
127,Rehragout Rendezvous,"$14,127,069",-,-,"$14,127,069",100%
128,His Only Son,"$13,819,781","$12,392,740",89.7%,"$1,427,041",10.3%
129,Jeanne du Barry,"$13,615,836",-,-,"$13,615,836",100%
130,Animal,"$13,481,630","$9,277,377",68.8%,"$4,204,253",31.2%
131,The Point Men,"$13,433,834",-,-,"$13,433,834",100%
132,"Manta, Manta: Legacy","$13,078,126",-,-,"$13,078,126",100%
133,Championext,"$12,906,977",-,-,"$12,906,977",100%
134,Bottoms,"$12,725,395","$12,036,071",94.6%,"$689,324",5.4%
135,Love Again,"$12,696,584","$6,230,837",49.1%,"$6,465,747",50.9%
136,Saltburn,"$12,646,487","$7,552,705",59.7%,"$5,093,782",40.3%
137,Tiger 3,"$11,550,818","$5,365,263",46.4%,"$6,185,555",53.6%
138,Face Off 6: The Ticket of Destiny,"$11,538,081",-,-,"$11,538,081",100%
139,Beau Is Afraid,"$11,480,078","$8,176,562",71.2%,"$3,303,516",28.8%
140,After Death,"$11,460,826","$11,460,826",100%,-,-
141,What's Love Got to Do with It?,"$11,108,409",-,-,"$11,108,409",100%
142,Samurai Beyond Admiration Record to the World's Best,"$10,876,188",-,-,"$10,876,188",100%
143,Honey Sweet,"$10,765,835",-,-,"$10,765,835",100%
144,The Machine,"$10,664,328","$10,458,331",98.1%,"$205,997",1.9%
145,After Everything,"$10,641,434",-,-,"$10,641,434",100%
146,The Nightmare Before Christmas 30th Anniversary Re-Release,"$10,372,075","$10,251,956",98.8%,"$120,119",1.2%
147,Sleep,"$10,331,786",-,-,"$10,331,786",100%
148,The Crime Is Mine,"$10,262,482",-,-,"$10,262,482",100%
149,Sun and Concrete,"$10,119,958",-,-,"$10,119,958",100%
150,The Lord of the Rings: The Return of the King 2023 Re-release (20th Anniversary),"$9,691,337","$1,176,085",12.1%,"$8,515,252",87.9%
151,Talk to Her Undated France Release,"$9,549,770",-,-,"$9,549,770",100%
152,Kandahar,"$9,388,091","$4,813,132",51.3%,"$4,574,959",48.7%
153,House Party,"$9,284,647","$9,002,247",97%,"$282,400",3%
154,All Your Faces,"$9,056,053",-,-,"$9,056,053",100%
155,The Wandering Earth II,"$8,854,786","$5,023,132",56.7%,"$3,831,654",43.3%
156,Freelance,"$8,813,086","$5,314,136",60.3%,"$3,498,950",39.7%
157,Father & Soldier,"$8,598,322",-,-,"$8,598,322",100%
158,PreCure All Stars F,"$8,519,569",-,-,"$8,519,569",100%
159,The Peasants,"$8,436,389",-,-,"$8,436,389",100%
160,Dream,"$8,317,251",-,-,"$8,317,251",100%
161,Vacaciones de verano,"$8,209,854",-,-,"$8,209,854",100%
162,Weekend Rebels,"$8,184,539",-,-,"$8,184,539",100%
163,On the Wandering Paths,"$8,174,394",-,-,"$8,174,394",100%
164,The Animal Kingdom,"$8,126,828",-,-,"$8,126,828",100%
165,Ransomed,"$8,101,634","$142,101",1.8%,"$7,959,533",98.2%
166,Cobweb,"$8,052,602",-,-,"$8,052,602",100%
167,Checker Tobi und die Reise zu den fliegenden Flüssen,"$7,953,344",-,-,"$7,953,344",100%
168,Tonde Saitama: Biwako Yori Ai o Komete,"$7,837,906",-,-,"$7,837,906",100%
169,The Silent Service,"$7,836,539",-,-,"$7,836,539",100%
170,The Hill,"$7,665,865","$7,665,865",100%,-,-
171,Analog,"$7,586,455",-,-,"$7,586,455",100%
172,The Jungle Bunch 2: World Tour,"$7,550,094",-,-,"$7,550,094",100%
173,Second Tour,"$7,466,699",-,-,"$7,466,699",100%
174,Cats in the Museum,"$7,460,843",-,-,"$7,460,843",100%
175,Ichikei's Crow,"$7,377,092",-,-,"$7,377,092",100%
176,Star Wars: Episode VI - Return of the Jedi 2023 Re-release,"$7,259,924","$7,259,924",100%,-,-
177,Road to Boston,"$7,196,843",-,-,"$7,196,843",100%
178,Coraline 2023 Re-release (remastered),"$7,149,366","$7,149,366",100%,-,-
179,Les petites victoires,"$7,056,157",-,-,"$7,056,157",100%
180,Knights of the Zodiac,"$6,986,177","$1,090,155",15.6%,"$5,896,022",84.4%
181,Leo,"$6,978,436",-,-,"$6,978,436",100%
182,The Shift,"$6,963,051","$6,963,051",100%,-,-
183,A Difficult Year,"$6,867,792",-,-,"$6,867,792",100%
184,Beautiful Disaster,"$6,850,036",-,-,"$6,850,036",100%
185,Baba Yaga spasaet mir,"$6,792,214",-,-,"$6,792,214",100%
186,Blue Giant,"$6,761,468","$266,645",3.9%,"$6,494,823",96.1%
187,Pravednik,"$6,758,440",-,-,"$6,758,440",100%
188,The Miracle Club,"$6,743,830","$2,402,780",35.6%,"$4,341,050",64.4%
189,The Great Escaper,"$6,679,075",-,-,"$6,679,075",100%
190,A Brighter Tomorrow,"$6,603,592",-,-,"$6,603,592",100%
191,Next Goal Wins,"$6,571,872","$6,571,872",100%,-,-
192,Journey to Bethlehem,"$6,503,613","$6,330,702",97.3%,"$172,911",2.7%
193,It Lives Inside,"$6,491,894","$4,675,092",72%,"$1,816,802",28%
194,Little Bird: The Big Quest,"$6,443,142",-,-,"$6,443,142",100%
195,City Hunter the Movie: Angel Dust,"$6,394,423",-,-,"$6,394,423",100%
196,Rohan at the Louvre,"$6,292,792",-,-,"$6,292,792",100%
197,Marlowe,"$6,276,005","$4,350,243",69.3%,"$1,925,762",30.7%
198,Stop Making Sense 2023 Re-release,"$6,221,285","$5,066,072",81.4%,"$1,155,213",18.6%
199,Ataturk 1881-1919,"$6,152,433",-,-,"$6,152,433",100%
200,Mafia Mamma,"$6,120,609","$3,496,761",57.1%,"$2,623,848",42.9%
